Codigo Nacional,Nombre Completo,Laboratorio,PVP IVA,Indicaciones,Principios Activos,Clasificacion ATC,Imagen_URL,Video_URL
954925,ACTRON COMPUESTO 267 mg/133 mg/40 mg 20 COMPRIMIDOS EFERVESCENTES,BAYER HISPANIA S.L.,"11,41","- Alivio sintómatico del [DOLOR] ocasional leve o moderado, como dolor de cabeza, dolor dental o dolor menstrual, y [FIEBRE].","ACETILSALICILICO, ACIDO (ANALGESICO) 267.0 MILIGRAMOS; PARACETAMOL 133.0 MILIGRAMOS; CAFEINA 40.0 MILIGRAMOS",ACIDO SALICILICO Y DERIVADOS [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/93687/47178_materialas.jpg,https://www.youtube.com/watch?v=jrSrRyLf0vU
723358,ACTROMADOL 660 mg 8 COMPRIMIDOS LIBERACION MODIFICADA,BAYER HISPANIA S.L.,"6,31","- Alivio sintomático de los dolores ocasionales leves o moderados como [CEFALEA], [ODONTALGIA], [DISMENORREA], [MIALGIA] o [DOLOR DE ESPALDA]. 
 
 
 
 - [FIEBRE]",NAPROXENO SODICO 660.0 MILIGRAMOS,DERIVADOS DEL ACIDO PROPIONICO [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/397689/83348_materialas.jpg,https://www.youtube.com/watch?v=wWoMzuxrqdc
721220,ACTRON COMPUESTO ELAM PHARMA 267 mg/133 mg/40 mg 20 COMPRIMIDOS EFERVESCENTES,ELAM PHARMA,"11,41","- Alivio sintómatico del [DOLOR] ocasional leve o moderado, como dolor de cabeza, dolor dental o dolor menstrual, y [FIEBRE].","ACETILSALICILICO, ACIDO (ANALGESICO) 267.0 MILIGRAMOS; PARACETAMOL 133.0 MILIGRAMOS; CAFEINA 40.0 MILIGRAMOS",ACIDO SALICILICO Y DERIVADOS [N4],,https://www.youtube.com/watch?v=jrSrRyLf0vU
675256,"ACUOLENS 3 mg/ml + 5,5 mg/ml COLIRIO EN SOLUCION 30 MONODOSIS 0,5 ml",ALCON HEALTHCARE S.A.,"9,12","- Alivio del [SEQUEDAD OCULAR] cuando el ojo está sometido a agentes irritantes que ocasionen sequedad ocular y molestias.
 
 
 
 ####Indicaciones financiadas####
 
 
 
 - Alivio de la sequedad ocular en pacientes con [SINDROME DE SJOGREN].","HIPROMELOSA 3.0 MILIGRAMOS; SODIO, CLORURO (OFTALMICO) 5.5 MILIGRAMOS",OTROS OFTALMOLOGICOS [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/104166/62630_materialas.jpg,https://www.youtube.com/watch?v=qiZ78n6YbMY
757998,ADOLDEX 25 mg 10 COMPRIMIDOS RECUBIERTOS,NEURAXPHARM SPAIN S.L.,"3,9","- Dolor de intensidad leve o moderada, tal como [DOLOR OSTEOMUSCULAR], [DISMENORREA], [ODONTALGIA]. 
 
 
 
 Las formas parenterales: tratamiento sintomático del [DOLOR AGUDO] de moderado a intenso, cuando la administración oral no es apropiada, tal como dolor postoperatorio, cólico renal de intensidad moderada a severa y dolor lumbar.",DEXKETOPROFENO 25.0 MILIGRAMOS,DERIVADOS DEL ACIDO PROPIONICO [N4],,https://www.youtube.com/watch?v=Sgvp3QdfAdk
754978,"ADULAX 7,5 g SOLUCION RECTAL 4 ENEMAS 7,5 ml",CASEN RECORDATI S.L.,"9,26",- Tratamiento local sintomático del [ESTREÑIMIENTO] transitorio y ocasional.,GLICEROL 7.5 GRAMOS,ENEMAS [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/104555/62476_materialas.jpg,
701979,AERO RED 40 mg 30 COMPRIMIDOS MASTICABLES,URIACH CONSUMER HEALTHCARE,"7,26",- Alivio sintomático de [AEROFAGIA] y/o [FLATULENCIA].,SIMETICONA 40.0 MILIGRAMOS,OTROS AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTOMAGO [N4],,https://www.youtube.com/watch?v=4S_SZv7bM5I
701961,AERO RED 40 mg 100 COMPRIMIDOS MASTICABLES,URIACH CONSUMER HEALTHCARE,"10,85",- Alivio sintomático de [AEROFAGIA] y/o [FLATULENCIA].,SIMETICONA 40.0 MILIGRAMOS,OTROS AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTOMAGO [N4],,https://www.youtube.com/watch?v=4S_SZv7bM5I
663728,AERO RED 120 mg 40 COMPRIMIDOS MASTICABLES,URIACH CONSUMER HEALTHCARE,"10,85",- Alivio sintomático de [AEROFAGIA] y/o [FLATULENCIA].,SIMETICONA 120.0 MILIGRAMOS,OTROS AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTOMAGO [N4],,https://www.youtube.com/watch?v=4S_SZv7bM5I
698277,AERO RED FORTE 240 mg 20 CAPSULAS BLANDAS,URIACH CONSUMER HEALTHCARE,"11,63",- Alivio sintomático de [AEROFAGIA] y/o [FLATULENCIA].,SIMETICONA 240.0 MILIGRAMOS,OTROS AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTOMAGO [N4],,https://www.youtube.com/watch?v=4S_SZv7bM5I
960427,AGIOLAX GRANULADO 1 FRASCO 250 g,VEMEDIA PHARMA HISPANIA,"12,75",- Tratamiento a corto plazo del [ESTREÑIMIENTO] ocasional.,ISPAGULA SEMILLAS 2.6 GRAMOS; SEN FRUTOS 500.0 MILIGRAMOS; ISPAGULA CUTICULA 110.0 MILIGRAMOS,FORMADORES DE VOLUMEN [N4],,https://www.youtube.com/watch?v=4aU8pa2camk
731503,AGNUCASTON 20 mg 30 COMPRIMIDOS RECUBIERTOS,BIONORICA SE,"14,44",- Alivio de hinchazón y tensión dolorosa mamaria del [SINDROME PREMENSTRUAL] y de irritabilidad derivada de estos síntomas.,SAUZGATILLO EXTRACTO 20.0 MILIGRAMOS,OTROS PRODUCTOS GINECOLOGICOS [N4],,
702373,AGUA OXIGENADA CUVE 30 mg/ml SOLUCION CUTANEA 1 FRASCO 500 ml,"PHARMEX ADVANCED LABORATORIES, S.L","3,34","- Solución: Limpieza de heridas superficiales, taponamiento de hemorragias nasales, ablandamiento de apósitos y vendajes.
 
 
 
 Diluida a partes iguales en agua (50%): [AMIGDALITIS], [EXTRACCION DENTAL], [INFECCION BUCAL], cuidado de la piel ([ACNE], etc).
 
 
 
 Diluida al 30%: Higiene íntima.",PEROXIDO DE HIDROGENO 30.0 MILIGRAMOS,OTROS ANTISEPTICOS Y DESINFECTANTES [N4],,
876896,AGUA DEL CARMEN SOLUCION ORAL 1 FRASCO 200 ml,FARDI,"14,99","- Síntomas relacionados con el [ESTRES], tales como alteraciones gastrointestinales y nerviosismo. 
 
 
 
 - Malestar asociado a la menstruación ([DISMENORREA]).",NUEZ MOSCADA FRUTOS 0.714 MILIGRAMOS; ANGELICA RAICES 0.855 MILIGRAMOS; CORIANDRO FRUTOS 1.14 MILIGRAMOS; TILA INFLORESCENCIAS 1.14 MILIGRAMOS; CANELA CORTEZAS 1.43 MILIGRAMOS; HIERBALUISA HOJAS 1.43 MILIGRAMOS; MANZANILLA COMUN FLORES 2.43 MILIGRAMOS; HISOPO SUMIDAD FLORIDA 4.285 MILIGRAMOS; MELISA HOJAS 9.285 MILIGRAMOS,OTROS PRODUCTOS TERAPEUTICOS [N4],,https://www.youtube.com/watch?v=AgLDWyCJbrk
876888,AGUA DEL CARMEN SOLUCION ORAL 1 FRASCO 100 ml,FARDI,"11,49","- Síntomas relacionados con el [ESTRES], tales como alteraciones gastrointestinales y nerviosismo. 
 
 
 
 - Malestar asociado a la menstruación ([DISMENORREA]).",NUEZ MOSCADA FRUTOS 0.714 MILIGRAMOS; ANGELICA RAICES 0.855 MILIGRAMOS; CORIANDRO FRUTOS 1.14 MILIGRAMOS; TILA INFLORESCENCIAS 1.14 MILIGRAMOS; CANELA CORTEZAS 1.43 MILIGRAMOS; HIERBALUISA HOJAS 1.43 MILIGRAMOS; MANZANILLA COMUN FLORES 2.43 MILIGRAMOS; HISOPO SUMIDAD FLORIDA 4.285 MILIGRAMOS; MELISA HOJAS 9.285 MILIGRAMOS,OTROS PRODUCTOS TERAPEUTICOS [N4],,https://www.youtube.com/watch?v=AgLDWyCJbrk
702423,AGUA OXIGENADA FORET 30 mg/ml SOLUCION CUTANEA Y CONCENTRADO PARA SOLUCION BUCAL 1 FRASCO 1000 ml,PEROXFARMA,"6,96","- Solución: Limpieza de heridas superficiales, taponamiento de hemorragias nasales, ablandamiento de apósitos y vendajes.
 
 
 
 Diluida a partes iguales en agua (50%): [AMIGDALITIS], [EXTRACCION DENTAL], [INFECCION BUCAL], cuidado de la piel ([ACNE], etc).
 
 
 
 Diluida al 30%: Higiene íntima.",PEROXIDO DE HIDROGENO 30.0 MILIGRAMOS,OTROS ANTISEPTICOS Y DESINFECTANTES [N4],,
702365,AGUA OXIGENADA CUVE 30 mg/ml SOLUCION CUTANEA 1 FRASCO 1000 ml,"PHARMEX ADVANCED LABORATORIES, S.L","4,15","- Solución: Limpieza de heridas superficiales, taponamiento de hemorragias nasales, ablandamiento de apósitos y vendajes.
 
 
 
 Diluida a partes iguales en agua (50%): [AMIGDALITIS], [EXTRACCION DENTAL], [INFECCION BUCAL], cuidado de la piel ([ACNE], etc).
 
 
 
 Diluida al 30%: Higiene íntima.",PEROXIDO DE HIDROGENO 30.0 MILIGRAMOS,OTROS ANTISEPTICOS Y DESINFECTANTES [N4],,
702381,AGUA OXIGENADA CUVE 30 mg/ml SOLUCION CUTANEA 1 FRASCO 250 ml,"PHARMEX ADVANCED LABORATORIES, S.L","2,84","- Solución: Limpieza de heridas superficiales, taponamiento de hemorragias nasales, ablandamiento de apósitos y vendajes.
 
 
 
 Diluida a partes iguales en agua (50%): [AMIGDALITIS], [EXTRACCION DENTAL], [INFECCION BUCAL], cuidado de la piel ([ACNE], etc).
 
 
 
 Diluida al 30%: Higiene íntima.",PEROXIDO DE HIDROGENO 30.0 MILIGRAMOS,OTROS ANTISEPTICOS Y DESINFECTANTES [N4],,
702449,AGUA OXIGENADA FORET 30 mg/ml SOLUCION CUTANEA Y CONCENTRADO PARA SOLUCION BUCAL 1 FRASCO 250 ml,PEROXFARMA,"2,98","- Solución: Limpieza de heridas superficiales, taponamiento de hemorragias nasales, ablandamiento de apósitos y vendajes.
 
 
 
 Diluida a partes iguales en agua (50%): [AMIGDALITIS], [EXTRACCION DENTAL], [INFECCION BUCAL], cuidado de la piel ([ACNE], etc).
 
 
 
 Diluida al 30%: Higiene íntima.",PEROXIDO DE HIDROGENO 30.0 MILIGRAMOS,OTROS ANTISEPTICOS Y DESINFECTANTES [N4],,
702431,AGUA OXIGENADA FORET 30 mg/ml SOLUCION CUTANEA Y CONCENTRADO PARA SOLUCION BUCAL 1 FRASCO 500 ml,PEROXFARMA,"4,73","- Solución: Limpieza de heridas superficiales, taponamiento de hemorragias nasales, ablandamiento de apósitos y vendajes.
 
 
 
 Diluida a partes iguales en agua (50%): [AMIGDALITIS], [EXTRACCION DENTAL], [INFECCION BUCAL], cuidado de la piel ([ACNE], etc).
 
 
 
 Diluida al 30%: Higiene íntima.",PEROXIDO DE HIDROGENO 30.0 MILIGRAMOS,OTROS ANTISEPTICOS Y DESINFECTANTES [N4],,
976993,ALCOMON REFORZADO 96º SOLUCION CUTANEA 1 FRASCO 1000 ml,REIG JOFRE,"7,31",- Antiséptico de la piel.,ALCOHOL ETILICO 0.96 MILILITROS; CETILPIRIDINIO CLORURO 1.0 MILIGRAMOS,COMPUESTOS DE AMONIO CUATERNARIO [N4],,
681825,ALCOHOL ALCANFORADO REIG JOFRE 100 mg/ml SOLUCION CUTANEA 1 FRASCO 250 ml,REIG JOFRE,"4,84","- Alivio sintomático de los [MIALGIA] o [ARTRALGIA], como [CONTUSION], [ESGUINCE], [CONTRACTURA MUSCULAR].",ALCOHOL ETILICO 1.0 CANTIDAD SUFICIENTE (CSP); ALCANFOR 100.0 MILIGRAMOS,OTROS PRODUCTOS TOPICOS PARA EL DOLOR ARTICULAR Y MUSCULAR [N4],,
995191,ALCOHOL 96º SANITARIO REIG JOFRE SOLUCION CUTANEA 1 FRASCO 1000 ml,REIG JOFRE,"34,97","- [DESINFECCION] de la piel, previa a inyecciones o intervenciones pequeñas.",ALCOHOL ETILICO 0.96 MILILITROS,OTROS ANTISEPTICOS Y DESINFECTANTES [N4],,
977017,ALCOMON REFORZADO 70º SOLUCION CUTANEA 1 FRASCO 500 ml,REIG JOFRE,"3,75",- Antiséptico de la piel.,ALCOHOL ETILICO 0.7 MILILITROS; CETILPIRIDINIO CLORURO 1.0 MILIGRAMOS,COMPUESTOS DE AMONIO CUATERNARIO [N4],,
694062,ALCOHOL ALCANFORADO REIG JOFRE 100 mg/ml SOLUCION CUTANEA 1 FRASCO 500 ml,REIG JOFRE,"6,31","- Alivio sintomático de los [MIALGIA] o [ARTRALGIA], como [CONTUSION], [ESGUINCE], [CONTRACTURA MUSCULAR].",ALCOHOL ETILICO 1.0 CANTIDAD SUFICIENTE (CSP); ALCANFOR 100.0 MILIGRAMOS,OTROS PRODUCTOS TOPICOS PARA EL DOLOR ARTICULAR Y MUSCULAR [N4],,
976977,ALCOMON REFORZADO 96º SOLUCION CUTANEA 1 FRASCO 250 ml,REIG JOFRE,"3,12",- Antiséptico de la piel.,ALCOHOL ETILICO 0.96 MILILITROS; CETILPIRIDINIO CLORURO 1.0 MILIGRAMOS,COMPUESTOS DE AMONIO CUATERNARIO [N4],,
977025,ALCOMON REFORZADO 70º SOLUCION CUTANEA 1 FRASCO 1000 ml,REIG JOFRE,"6,49",- Antiséptico de la piel.,ALCOHOL ETILICO 0.7 MILILITROS; CETILPIRIDINIO CLORURO 1.0 MILIGRAMOS,COMPUESTOS DE AMONIO CUATERNARIO [N4],,
703744,ALERCINA 10 mg 7 COMPRIMIDOS RECUBIERTOS,CINFA,"6,1",- Tratamiento de los síntomas nasales y oculares de la [RINITIS ALERGICA ESTACIONAL] y la [RINITIS ALERGICA PERENNE].,CETIRIZINA DICLORHIDRATO 10.0 MILIGRAMOS,DERIVADOS DE LA PIPERAZINA [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/197662/66044_materialas.jpg,https://www.youtube.com/watch?v=zCIOi6FF7YE
733428,"ALERGOFTAL 0,25 mg/ml + 5 mg/ml COLIRIO EN SOLUCION 1 FRASCO 10 ml",REVA HEALTH EUROPE S.L.,"10,47",- Alivio sintomático de [CONJUNTIVITIS ALERGICA].,NAFAZOLINA (OFTALMICO) CLORHIDRATO 0.25 MILIGRAMOS; ANTAZOLINA (OFTALMICO) FOSFATO 5.0 MILIGRAMOS,SIMPATICOMIMETICOS USADOS COMO DESCONGESTIVOS [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/100772/19763_materialas.jpg,
818963,ALGESAL ACTIVADO 10 mg/g + 100 mg/g POMADA 1 TUBO 60 g,STADA S.L,"9,76","- Alivio local sintomático de afecciones dolorosas o inflamatorias, de origen traumático o degenerativo de las articulaciones, tendones, ligamentos y músculos ([ARTRITIS], periartritis, [CAPSULITIS], artrosinovitis, [TENOSINOVITIS], distorsiones, [TORTICOLIS], [LUMBALGIA], [CONTRACTURA MUSCULAR], [BURSITIS], [TENDINITIS], [CONTUSION], [LUXACION], [ESGUINCE]).",MIRTECAINA 10.0 MILIGRAMOS; SALICILATO DE DIETILAMINA 100.0 MILIGRAMOS,PREPARADOS CON ACIDO SALICILICO Y DERIVADOS [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/198024/49339_materialas.jpg,
818633,ALGESAL 10 mg/g + 100 mg/g ESPUMA CUTANEA 1 ENVASE A PRESION 100 g,STADA S.L,"11,16","- Alivio local sintomático de afecciones dolorosas o inflamatorias, de origen traumático o degenerativo de las articulaciones, tendones, ligamentos y músculos ([ARTRITIS], periartritis, [CAPSULITIS], artrosinovitis, [TENOSINOVITIS], distorsiones, [TORTICOLIS], [LUMBALGIA], [CONTRACTURA MUSCULAR], [BURSITIS], [TENDINITIS], [CONTUSION], [LUXACION], [ESGUINCE]).",MIRTECAINA LAURIL SULFATO 10.0 MILIGRAMOS; SALICILATO DE DIETILAMINA 100.0 MILIGRAMOS,PREPARADOS CON ACIDO SALICILICO Y DERIVADOS [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/198022/53607_materialas.jpg,
687364,ALGIFAST 400 mg 12 SOBRES POLVO PARA SUSPENSION ORAL,FARDI,"6,12","- Tratamiento del [DOLOR] de leve a moderado.
 
 
 
 - Tratamiento de situaciones que cursen con [DOLOR] o [INFLAMACION], como [CEFALEA], [MIGRAÑA], [ODONTALGIA], [DISMENORREA], [FARINGITIS], [OTITIS], [AMIGDALITIS] o [DOLOR OSTEOMUSCULAR] ([MIALGIA], [CONTRACTURA MUSCULAR], [LUMBALGIA]).
 
 
 
 - Tratamiento sintomático de [FIEBRE].",IBUPROFENO LISINATO 400.0 MILIGRAMOS,DERIVADOS DEL ACIDO PROPIONICO [N4],,https://www.youtube.com/watch?v=1xMMZV7ZuMg
665949,ALLI 60 mg 120 CAPSULAS,HALEON SPAIN S.A.,"94,99","""PRESENTACIONES 27 y 60 mg"": 
 
 
 
 - [SOBREPESO]. Pérdida de peso en adultos (de 18 o más años) con sobrepeso, con un IMC mayor o igual a 28 kg/m2, asociado a dieta hipocalórica baja en grasa y a ejercicio.",ORLISTAT 60.0 MILIGRAMOS,PRODUCTOS CONTRA LA OBESIDAD DE ACCION PERIFERICA [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/234769/07401011_materialas_1_2_3_4_5_6.jpg,https://www.youtube.com/watch?v=XuFis_4D0Iw
662347,ALLI 60 mg 84 CAPSULAS,HALEON SPAIN S.A.,"76,35","""PRESENTACIONES 27 y 60 mg"": 
 
 
 
 - [SOBREPESO]. Pérdida de peso en adultos (de 18 o más años) con sobrepeso, con un IMC mayor o igual a 28 kg/m2, asociado a dieta hipocalórica baja en grasa y a ejercicio.",ORLISTAT 60.0 MILIGRAMOS,PRODUCTOS CONTRA LA OBESIDAD DE ACCION PERIFERICA [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/230291/07401009_materialas_1_2_3.jpg,https://www.youtube.com/watch?v=XuFis_4D0Iw
954974,"ALKA-SELTZER 2,1 g 20 COMPRIMIDOS EFERVESCENTES",BAYER HISPANIA S.L.,"12,02",[HIPERACIDEZ GASTRICA]: Alivio sintomático de las molestias gástricas ocasionales relacionadas con hiperacidez.,"SODIO, BICARBONATO (ORAL) 2081.8 MILIGRAMOS",ANTIACIDOS CON BICARBONATO DE SODIO [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/101802/40876_materialas.jpg,
729937,"ALMAGATO STADAPHARM 1,5 g 12 SOBRES SUSPENSION ORAL",STADA S.L,"9,44",- Tratamiento sintomático de [HIPERACIDEZ GASTRICA] en adultos y adolescentes a partir de 12 años.,ALMAGATO 1.5 GRAMOS,"COMBINACIONES Y COMPLEJOS DE COMPUESTO DE ALUMINIO, CALCIO Y MAGNESIO [N4]",http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/401000/85630_materialas.jpg,https://www.youtube.com/watch?v=-xpPeViJqes
